pid,title,description,label,_date,made (role?),subject,object_type,tools,order,layout,collection,thumbnail,full,manifest
obj0,"interactivity, indigeneity, and the digital imaginary",long description goes here,"interactivity, indigeneity, and the digital imaginary",2017,solo,scholarly work,digital project,twine,0,qatar_item,portfolio,"/img/derivatives/iiif/images/obj0_thesis-home/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj0_thesis-home/full/full/0/default.jpg,/img/derivatives/iiif/obj0/manifest.json
obj1,our beloved kin,long description goes here,our beloved kin,2017,collab,scholarly work,digital project,scalar,1,qatar_item,portfolio,"/img/derivatives/iiif/images/obj1_unbinding-page/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1_unbinding-page/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json
obj10,as in muck shoe,long description goes here,as in muck shoe,2019,solo,poetry,digital project,RiTa,10,qatar_item,portfolio,"/img/derivatives/iiif/images/obj10_gay-as-in/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10_gay-as-in/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json
obj11,zinenet.work,long description goes here,zinenet.work,2020,solo,data visualization,digital project,,11,qatar_item,portfolio,"/img/derivatives/iiif/images/obj11_lcsh/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj11_lcsh/full/full/0/default.jpg,/img/derivatives/iiif/obj11/manifest.json
obj12,theory_cats,long description goes here,theory_cats,2020,solo,twitter bot,digital project,,12,qatar_item,portfolio,,,
obj13,haircut,long description goes here,haircut,2020,solo,data visualization,print,,13,qatar_item,portfolio,"/img/derivatives/iiif/images/obj13_taxonomy-emotions/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj13_taxonomy-emotions/full/full/0/default.jpg,/img/derivatives/iiif/obj13/manifest.json
obj2,touch me; I'm sharp,long description goes here,touch me; I'm sharp,2018,solo,physical computation,art piece,,2,qatar_item,portfolio,"/img/derivatives/iiif/images/obj2_tmis-2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2_tmis-2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json
obj3,digital atlas,long description goes here,digital atlas,2018,collab,data visualization,digital project,,3,qatar_item,portfolio,"/img/derivatives/iiif/images/obj3_danait-gephi/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj3_danait-gephi/full/full/0/default.jpg,/img/derivatives/iiif/obj3/manifest.json
obj4,trees of new york,long description goes here,trees of new york,2019,solo,data visualization,print,,4,qatar_item,portfolio,,,
obj5,queer.archive.work,long description goes here,queer.archive.work,2019,collab,poetry,print,,5,qatar_item,portfolio,"/img/derivatives/iiif/images/obj5_cryptid/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj5_cryptid/full/full/0/default.jpg,/img/derivatives/iiif/obj5/manifest.json
obj6,qxqi,long description goes here,qxqi,2019,solo,poetry,digital project,,6,qatar_item,portfolio,"/img/derivatives/iiif/images/obj6_in-the-archive/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj6_in-the-archive/full/full/0/default.jpg,/img/derivatives/iiif/obj6/manifest.json
obj7,liquid futurisms,long description goes here,liquid futurisms,2019,solo,speculative design,digital project,,7,qatar_item,portfolio,"/img/derivatives/iiif/images/obj7_diagram/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj7_diagram/full/full/0/default.jpg,/img/derivatives/iiif/obj7/manifest.json
obj8,written on their bones,long description goes here,written on their bones,2019,collab,speculative design,digital project,,8,qatar_item,portfolio,"/img/derivatives/iiif/images/obj8_bone-metadata/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj8_bone-metadata/full/full/0/default.jpg,/img/derivatives/iiif/obj8/manifest.json
obj9,dressing light,long description goes here,dressing light,2019,collab,physical computation,art piece,,9,qatar_item,portfolio,"/img/derivatives/iiif/images/obj9_knit-1/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj9_knit-1/full/full/0/default.jpg,/img/derivatives/iiif/obj9/manifest.json
